Entry,Coiled_coil,Compositional_bias,Domain_CC,Domain_FT,Motif,Region,Repeat,Zinc_finger
P32569,,COMPBIAS 30..44; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 56..70; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 136..151; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 166..187; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 30..70; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 130..189; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32570,,,,,,,,
P32571,,,DOMAIN: Residues 1-208 are essential for the localization to the late endosome and constitute a late endosome localization (LEL) domain. {ECO:0000269|PubMed:17145966}.,DOMAIN 205..328; /note="Rhodanese"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00173"; DOMAIN 562..923; /note="USP",,,,
P32573,,,,,MOTIF 290..292; /note="Microbody targeting signal"; /evidence="ECO:0000255",,,
P32578,,COMPBIAS 11..28; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 583..598; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..88; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 117..146; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 311..335; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 362..389; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 473..716; /note="Kinase-interacting sequence (KIS); required for interaction with SNF1"; REGION 581..616; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 724..804; /note="Association with SNF1 kinase complex (ASC) domain; required for interaction with SNF4"; /evidence="ECO:0000269|PubMed:9121458",,
P32579,,,,DOMAIN 49..252; /note="YrdC-like"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00518",,,,
P32580,,,,DOMAIN 226..365; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 390..546; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",,,,
P32582,,,,DOMAIN 373..432; /note="CBS"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00703",,,,
P32584,,,,,,,,
P32585,,COMPBIAS 127..147; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 117..162; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32588,,COMPBIAS 1..21; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 29..60; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 75..152; /note="RRM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 162..240; /note="RRM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 341..413; /note="RRM 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176",,REGION 1..67; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 241..262; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 260..264; /note="RNA-binding RGG-box"; /evidence="ECO:0000250"; REGION 419..453; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32589,,COMPBIAS 671..693; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 653..693; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32591,,COMPBIAS 1..47; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 48..63; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 65..140; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 158..189; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 190..208; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 212..237; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 241..280; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 464..484; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 485..504; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 305..402; /note="SWIRM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00247"; DOMAIN 522..573; /note="SANT"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00624",,REGION 1..285; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 464..509; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 694..722; /note="Leucine-zipper",,
P32597,,COMPBIAS 1090..1108; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1110..1130; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1154..1186; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1216..1236; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 307..383; /note="HSA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00549"; DOMAIN 482..647; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 795..956; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542"; DOMAIN 1270..1340; /note="Bromo"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00035",MOTIF 597..600; /note="DEGH box",REGION 1090..1246; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32598,,,,,,,,
P32599,,,,DOMAIN 16..50; /note="EF-hand 1"; DOMAIN 51..86; /note="EF-hand 2"; DOMAIN 139..259; /note="Calponin-homology (CH) 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044"; DOMAIN 287..390; /note="Calponin-homology (CH) 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044"; DOMAIN 411..521; /note="Calponin-homology (CH) 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044"; DOMAIN 534..642; /note="Calponin-homology (CH) 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00044",,REGION 125..394; /note="Actin-binding 1"; REGION 395..642; /note="Actin-binding 2",,
P32600,,COMPBIAS 1..16; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 46..60; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,"DOMAIN 1338..1922; /note=""FAT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534""; DOMAIN 2097..2421; /note=""PI3K/PI4K catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00269""; DOMAIN 2442..2474; /note=""FATC""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00534, ECO:0000255|PROSITE-ProRule:PRU00535""",,REGION 1..62; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2103..2109; /note="G-loop"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 2276..2284; /note="Catalytic loop"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00269"; REGION 2296..2321; /note="Activation loop"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00269",REPEAT 588..626; /note="HEAT 1"; REPEAT 636..674; /note="HEAT 2"; REPEAT 676..710; /note="HEAT 3"; REPEAT 756..793; /note="HEAT 4"; REPEAT 797..835; /note="HEAT 5"; REPEAT 841..879; /note="HEAT 6"; REPEAT 917..955; /note="HEAT 7"; REPEAT 1039..1076; /note="HEAT 8"; REPEAT 1079..1116; /note="HEAT 9"; REPEAT 1118..1155; /note="HEAT 10"; REPEAT 1292..1331; /note="HEAT 11",
P32602,,,,,,,,
P32603,,,,,,,,
P32604,,,,,,"REGION 1..223; /note=""6-phosphofructo-2-kinase""; /evidence=""ECO:0000250""; REGION 224..452; /note=""Fructose-2,6-bisphosphatase""",,
P32605,,,,DOMAIN 2..113; /note="RRM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 227..298; /note="RRM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176",,,,
P32607,,COMPBIAS 52..66; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 11..96; /note="bHLH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00981",,REGION 1..24; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 52..82; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 147..177; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32609,,,,,,REGION 36..58; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 6..29; /note="C2H2-type"; ZN_FING 72..137; /note="FYVE-type 1; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00091"; ZN_FING 215..297; /note="FYVE-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00091"
P32610,,COMPBIAS 211..234; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 211..256; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32614,,,,,,,,
P32621,,,,,,,,
P32622,,COMPBIAS 449..465; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 466..480; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 442..480; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32623,,COMPBIAS 348..444; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 63..280; /note="GH16"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01098",,REGION 337..444; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32626,,,,,,,,
P32628,,COMPBIAS 93..111; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 120..145; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 195..215; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 1..77; /note="Ubiquitin-like"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00214"; DOMAIN 146..186; /note="UBA 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212"; DOMAIN 355..395; /note="UBA 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00212",,REGION 75..149; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 195..216; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 229..252; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32629,,COMPBIAS 438..473; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 475..500; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 424..500; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32639,,COMPBIAS 36..54; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 396..412; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: Contains two helicase domains. The N-terminal helicase domain has catalytic activity by itself, contrary to the C-terminal helicase domain that may have a regulatory role and enhance the activity of the first helicase domain. {ECO:0000269|PubMed:19525970}.",DOMAIN 508..692; /note="Helicase ATP-binding 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 718..921; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542"; DOMAIN 998..1308; /note="SEC63 1"; DOMAIN 1357..1533; /note="Helicase ATP-binding 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 1846..2160; /note="SEC63 2",MOTIF 634..637; /note="DEIH box"; MOTIF 1474..1477; /note="DDAH box",REGION 36..56; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 396..419; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32641,,COMPBIAS 607..622; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 24..54; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 596..659; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32642,,,,DOMAIN 3..110; /note="Thioredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00691"; DOMAIN 146..244; /note="Glutaredoxin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00686",,REGION 116..143; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32643,,,,,,,,
P32644,,COMPBIAS 162..182; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 234..253; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 264..279; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 280..307; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 321..335; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 336..359; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 371..415; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 433..452; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 157..187; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 233..452; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32657,,COMPBIAS 43..57; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 58..86; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 116..139; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 143..157; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 992..1007; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1220..1239; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1298..1313; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1331..1366; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",DOMAIN: The 2 chromodomains are involved in the binding to the histone H3 methyllysine at position 4 (H3K4me3). {ECO:0000250|UniProtKB:O14646}.; DOMAIN: The CHD1 helical C-terminal domain (CHCT) binds DNA and nucleosomes. {ECO:0000250|UniProtKB:O14646}.,DOMAIN 195..257; /note="Chromo 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00053"; DOMAIN 285..350; /note="Chromo 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00053"; DOMAIN 388..562; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 699..860; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",MOTIF 513..516; /note="DEAH box",REGION 21..176; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 974..1007; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1220..1247; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1270..1378; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32660,,COMPBIAS 41..55; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 56..75; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 76..94; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..94; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 234..241; /note="Involved in phosphatidylcholine substrate selection"; /evidence="ECO:0000269|PubMed:23302692"; REGION 586..590; /note="Involved in phosphatidylcholine substrate selection"; /evidence="ECO:0000269|PubMed:23302692",,
P32767,,,,,,,,
P32768,,,"DOMAIN: The number of the intragenic tandem repeats varies between different S.cerevisiae strains. There is a linear correlation between protein size and the extend of adhesion: the more repeats, the stronger the adhesion properties and the greater the fraction of flocculating cells. The Ser/Thr-rich repeats are also important for proper cell wall targeting of the protein.",DOMAIN 74..249; /note="PA14"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01164",,"REGION 197..240; /note=""Sugar recognition""; REGION 278..1087; /note=""18 X 45 AA approximate tandem repeats, Thr-rich""; REGION 770..799; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 860..889; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 995..1024; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1118..1157; /note=""2 X 20 AA approximate tandem repeats, Ser/Thr-rich""; REGION 1161..1232; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1226..1392; /note=""3 X 51 AA approximate repeats, Ser/Thr-rich""; REGION 1392..1414; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 1408..1434; /note=""3 X 9 AA approximate tandem repeats, Thr-rich""; REGION 1468..1497; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""",REPEAT 278..322; /note="1-1"; REPEAT 323..367; /note="1-2"; REPEAT 368..412; /note="1-3"; REPEAT 413..457; /note="1-4"; REPEAT 458..502; /note="1-5"; REPEAT 503..547; /note="1-6"; REPEAT 548..592; /note="1-7"; REPEAT 593..637; /note="1-8"; REPEAT 638..682; /note="1-9"; REPEAT 683..727; /note="1-10"; REPEAT 728..772; /note="1-11"; REPEAT 773..817; /note="1-12"; REPEAT 818..862; /note="1-13"; REPEAT 863..907; /note="1-14"; REPEAT 908..952; /note="1-15"; REPEAT 953..997; /note="1-16"; REPEAT 998..1042; /note="1-17"; REPEAT 1043..1087; /note="1-18"; REPEAT 1118..1137; /note="2-1"; REPEAT 1138..1157; /note="2-2"; REPEAT 1226..1276; /note="3-1"; REPEAT 1291..1341; /note="3-2"; REPEAT 1342..1392; /note="3-3"; REPEAT 1408..1416; /note="4-1"; REPEAT 1417..1425; /note="4-2"; REPEAT 1426..1434; /note="4-3",
P32769,,,,DOMAIN 165..390; /note="tr-type G"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059",,REGION 1..21; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 105..138; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 174..181; /note="G1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 230..234; /note="G2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 251..254; /note="G3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 313..316; /note="G4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 352..354; /note="G5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01059",,
P32771,,,,,,,,
P32773,,COMPBIAS 217..236; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 120..145; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 167..195; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 208..236; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32774,,,,,,,,
P32776,,COMPBIAS 65..81; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 130..154; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 165..221; /note="BSD 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00036"; DOMAIN 243..295; /note="BSD 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00036",,REGION 65..85; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 120..154; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 399..418; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32783,,COMPBIAS 17..37; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 141..424; /note="mRNA cap 0 methyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00895",,REGION 1..50; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32784,,COMPBIAS 632..658; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 684..704; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 735..759; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",DOMAIN: The HXXXXD motif is essential for acyltransferase activity and may constitute the binding site for the phosphate moiety of the glycerol-3-phosphate. {ECO:0000250}.,,MOTIF 414..419; /note="HXXXXD motif",REGION 613..667; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 684..705; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 729..759; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32789,,COMPBIAS 57..78; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 228..262; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 289..304; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The KEN and D (destructive) boxes are required for the cell cycle-controlled ALK2 degradation by the anaphase promoting complex (APC) pathway. {ECO:0000269|PubMed:16855400}.; DOMAIN: The protein kinase domain is predicted to be catalytically inactive. However, weak kinase activity was experimentally demonstrated. {ECO:0000269|PubMed:16855400}.",DOMAIN 383..672; /note="Protein kinase",MOTIF 116..118; /note="KEN box"; MOTIF 150..158; /note="D box",REGION 53..93; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 228..312; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32790,,COMPBIAS 201..221; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 565..592; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 630..649; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 3..68; /note="SH3 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 69..132; /note="SH3 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 353..415; /note="SH3 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192",,REGION 128..248; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 415..497; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 558..592; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 610..649; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 726..791; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 813..853; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 868..1205; /note="16 X 7 AA approximate repeats of T-G-G-A-M-M-P",REPEAT 868..874; /note="1"; REPEAT 877..883; /note="2"; REPEAT 887..893; /note="3"; REPEAT 923..929; /note="4"; REPEAT 945..951; /note="5"; REPEAT 1003..1009; /note="6"; REPEAT 1020..1026; /note="7"; REPEAT 1031..1037; /note="8"; REPEAT 1048..1054; /note="9"; REPEAT 1065..1071; /note="10"; REPEAT 1084..1090; /note="11"; REPEAT 1129..1135; /note="12"; REPEAT 1155..1161; /note="13"; REPEAT 1170..1176; /note="14"; REPEAT 1185..1191; /note="15"; REPEAT 1200..1206; /note="16",
P32791,,,,DOMAIN 258..398; /note="Ferric oxidoreductase"; /evidence="ECO:0000255"; DOMAIN 399..522; /note="FAD-binding FR-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00716",,,,
P32793,,COMPBIAS 235..249; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 256..274; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 275..299; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 330..371; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 409..468; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192",,REGION 220..386; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32794,,COMPBIAS 1..24; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The first ATP-binding region binds ATP with low affinity whereas the second ATP-binding region binds ATP with high affinity (PubMed:12006565). ATP hydrolysis mediated by the second ATP binding region releases RLP24 from pre-60S ribosomal particles whereas the ATP hydrolysis mediated by the first ATP binding region is subsequently required for RLP24 dissociation from AFG2, probably by disassembling AFG2 into monomers (PubMed:23185031, PubMed:24371142). {ECO:0000269|PubMed:23185031, ECO:0000269|PubMed:24371142, ECO:0000305|PubMed:12006565}.",,,REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32795,,COMPBIAS 51..66; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 67..92; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 725..739; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 51..92; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 718..747; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P32796,,,,,MOTIF 668..670; /note="Microbody targeting signal"; /evidence="ECO:0000255",,,
P32797,,COMPBIAS 270..284; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 285..314; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 315..330; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 265..336; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
